CID,B1Card#,Description,Value
117,504214,ST2 AE/RR LITERAL OPTION,0
117,504217,ST2 (ABS) WI POSITIONS PRINT,0
117,504218,ST2 HOUSEHOLDING OPTION,6
117,504219,ST2 SPECIALIST PRINCIPAL INTER,0
117,504220,ST2 CLEAN STATEMENTS SORT,0
117,504221,ST2 PROPRIETARY FUNDS OPTION,0
117,504222,ST2 FGN CURRENCIES TOTAL MV,0
117,504223,ST2 SECURITY DATA ON B228,1
117,504224,ST2 HISTORY USER BUCKET ACTION,0
117,504225,ST2 ACCT TRNF SEGMENT ON B228,0
117,504226,ST2 MEMOS SEGMENT ON B228,1
117,504227,ST2 POSITIONS EXTRA-1 SEG OPT,0
117,504228,ST2 B228 BRANCH ADDRESS,0
117,504229,ST2 B228 IRA BENEFICIARY RECRD,0
117,504231,ST2 ACCOUNT TYPE-1 LITERAL,
117,504232,ST2 ACCOUNT TYPE-2 LITERAL,
117,504233,ST2 ACCOUNT TYPE-3 LITERAL,
117,504234,ST2 ACCOUNT TYPE-4 LITERAL,
117,504235,ST2 ACCOUNT TYPE-5 LITERAL,
117,504236,ST2 ACCOUNT TYPE-6 LITERAL,
117,504237,ST2 ACCOUNT TYPE-7 LITERAL,
117,504238,ST2 ACCOUNT TYPE-8 LITERAL,
117,504239,ST2 ACCOUNT TYPE-9 LITERAL,
117,504240,ST2 ACCOUNT TYPE-0 LITERAL,
117,504245,ST2 SUPPRESS PRINT CATEGORY,00
117,504246,ST2 STATEMENTS TELEPHONE NO,
117,504247,ST2 POSITIONS CATEGORY TOTAL,37-2-MARKET VALUE-OTHER SECURITIES
117,504248,ST2 TRANSACTION CATEGORY TOTAL,- -
117,504249,ST2 DATE OF LAST STMT REFRESH,0000
117,504250,ST2 CLIENT DETAIL DATA ID,1101-0-ACCT HEADER
117,504250,ST2 CLIENT DETAIL DATA ID,1120-0-ACCOUNT HEADER
117,504250,ST2 CLIENT DETAIL DATA ID,2720-1-PLEDGE
117,504251,ST2 DATED DATE DESCRIPTION,0
117,504252,ST2 FIRST COUPON DESCRIPTION,0
117,504253,ST2 INTEREST FROM DESCRIPTION,0
117,504254,ST2 BOOK ENTRY DESCRIPTION,0
117,504255,ST2 DEFAULT FLAT DESCRIPTION,0
117,504256,ST2 OID DESCRIPTION,0
117,504257,ST2 DELAY DAYS DESCRIPTION,0
117,504258,ST2 PUT DATE PRICE DESCRIPTION,0
117,504259,ST2 PAR CALL DESCRIPTION,0
117,504260,ST2 INSURANCE DESCRIPTION,0
117,504261,ST2 END OF YEAR COMMISS BUCKET,0
117,504262,ST2 CURRENCY STMT PRINT OPTION,0
117,504263,ST2 TIIS DESCRIPTION,0
117,504264,ST2 DUP STMT PP NAME LINES,0
117,504265,ST2 PRICING INT BEARING CD,0
117,504266,ST2 PRICING MMF,1
117,504267,ST2 END OF YEAR DB INT BUCKET,1
117,504268,ST2 END OF YEAR CR INT BUCKET,1
117,504269,ST2 EST INCOME WITH CENTS,1
117,504270,ST2 APROF BUCKET NUMBER 6,0
117,504271,ST2 APROF PRIOR YEAR REVENUE,0
117,504272,ST2 PROPR FUNDS A/C TYPE OPT,0
117,504273,ST2 (ABS) COMBINE POS BY TYPE,0
117,504274,ST2 PENDING REORG TRADES OPT,0
117,504275,ST2 EXTRACT IRA (866) ACTIVITY,0
117,504276,ST2 EXTRACT BATCH ENTRY,-   -
117,504277,ST2 REPO BATCH CODES,-
117,504278,ST2 REPO CATEGORY,00
117,504279,ST2 ABS TAXLOTS,00
117,504280,ST2 ABS TAXLOTS WORKSHEETS,00
117,504291,ST2 B228 DETAILS EXTRA-4 SEG,1
117,504292,ST2 B228 TRADES EXTRA-2 SEG,Feb-00
117,504293,ST2 B228 N&A EXTRA-7 SEG,0
117,504294,ST2 B228 PEND DIST EXTRA-7 SEG,0
117,504295,ST2 B228 N&A IP EXTRA-1 SEG,0
117,504296,ST2 B228 N&A IP EXTRA-4 SEG,0
117,504297,ST2 ABS TYPE 5 SUMMARY,0
117,504298,ST2 B228 N/A CUSTOMER PHONE,0
117,504299,ST2 AMORTIZATION DESC OTHR SEC,0
117,504300,ST2 BRANCH ADDRESS OPTION,0
117,504301,ST2 SUPPRESS IRA QUANTITY TRAN,1
117,504302,ST2 SUPPRESS YTD BUCKETS,0
117,504303,ST2 ABS SUMMARY PAGE OPTION,0
117,504305,ST2 COMPLIANCE STMT DISCRETION,0
117,504306,ST2 COMPLIANCE STMT OPTION,0
117,504307,ST2 COMPLIANCE STMT EMPLOYEE,0
117,504308,ST2 TAX ONLY TRANS,0
117,504309,ST2 WI DESC SUPPRESS,0
117,504310,ST2 MUTUAL FUND MINIMUM,-     -
117,504311,ST2 ABS BACKER FORM BR RANGES,-   -      - - -
117,504312,ST2 ENTRY EXPLOSION DEFAULT,
117,504315,ST2 ACTIVE A/C TYPE CHECK,111111111
117,504316,ST2 ABS STATEMENT SUBOPTION,
117,504317,ST2 B228 ACT DATA - DECI,0
117,504318,ST2 B228 ACT DATA CREDIT LIMIT,0
117,504319,ST2 B228 ACT DATA - RESERVE-2,0
117,504320,ST2 B228 ACT DATA - RESERVE-3,0
117,504321,ST2 B228 ACT DATA - RESERVE-4,0
117,504322,ST2 B228 ACT DATA - RESERVE-5,0
117,504323,ST2 B228 ACT DATA - RESERVE-6,0
117,504324,ST2 TRANS CATCD INFO ON B228,0
117,504325,ST2 MONEY MGR DATA ON B228,0
117,504326,ST2 BSK REP DATA ON B228,1
117,504327,ST2 COMPOSITE PRICES,0
117,504328,ST2 PAYEE ONLINE CHECKING ACCT,0
117,504330,ST2 TRIDM ON B228,1
117,504331,ST2 ELECTRONIC STATEMENT OPT,0
117,504332,ST2 LAST PERIOD ACTIVITY BKTS,0
117,504333,ST2 LAST PERIOD POSITIONS DATA,1
117,504334,ST2 YEAR END POSITION BUCKETS,1
117,504335,ST2 FAIL STMT CUSIP PRINT,1
117,504336,ST2 PEND DIST & WI SEQ,0
117,504337,ST2 FAIL STMT ON LF AND LD,1
117,504338,ST2 OVERRIDE RATE DESCR,0
117,504339,ST2 ACCR INT FOR CALLED BONDS,0
117,504340,ST2 COD/COR STMT SUSPENSION,0
117,504341,ST2 MAIL SUPPRESS,0
117,504342,ST2 DVP SUPPRESS BAL/POS CHK,0
117,504343,ST2 WITHHOLDING SUSPENSION,1
117,504344,ST2 B228 EXTRA BALANCES,0
117,504347,ST2 ACTIVITY SUMM AMOUNTS CR,1-Jan
117,504347,ST2 ACTIVITY SUMM AMOUNTS CR,2-Feb
117,504347,ST2 ACTIVITY SUMM AMOUNTS CR,3-Mar
117,504348,ST2 ACTIVITY SUMM AMOUNTS DR,4-Apr
117,504348,ST2 ACTIVITY SUMM AMOUNTS DR,1-Jul
